,index,transaction,title,abstract,authors,track,invited
409,410,EDTM25-000615,Heterogeneously Integrated Intelligent System for Learning at the Edge,"Edge learning deploys training directly on IoT devices to enable real-time, on-device adaptation. The edge learning reduces data movement and processing overhead, but puts high demand on computing capability of edge devices. In this paper, we discuss a unified heterogeneous integration architecture, building on our recent advancements in 3D memristors, ECRAM arrays, and 3D hetero-integration techniques. With 3D memristor arrays for convolutional preprocessing and ECRAM arrays for efficient in-situ learning, the system achieves high-throughput, low-power processing suitable for real-time applications.","Wenju Huo,Peng Chen,Peng Lin,Gang Pan","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",1
410,411,EDTM25-000616,Novel GaN Integrated Photonics For Advanced Optical Communication and Imaging,"This work presents two significant advances in monolithic III-nitride optoelectronics for optical communication. First, optimized triangular micro-diodes are demonstrated to achieve high modulation bandwidth and responsivity, enabling efficient bidirectional data transmission. Second, a novel three-terminal diode architecture is introduced, offering tunable light emission and reconfigurable logic functionality. These innovations collectively enhance emission efficiency, detection speed, and multifunctionality, significantly advancing the development of integrated on-chip optoelectronic systems for next-generation optical communication technologies.","Muhammad Hunain Memon,Huabin Yu,Haochen Zhang,Haiding Sun","05 Photonics, Imaging and Display",1
411,412,EDTM25-000617,Leveraging Mature Chip Manufacturing Techniques for Innovative Technology Developmen,"This paper provides an in-depth look at the innovative advancements in chip manufacturing techniques, specifically focusing on the research and development efforts at Zhejiang ICsprout Semiconductor Co., Ltd’s CMOS pilot line. The exploratory development encompasses high-reliability CMOS processes, next-generation power devices, novel embedded flash memory devices, and post-CMOS heterogeneous integration. By rethinking traditional CMOS fabrication processes, we showcase how these proven techniques can propel substantial technological progress and underscore the capabilities of a mature CMOS pilot line in improving reliability, performance, and functionality in emerging semiconductor technologies. ","Yunlong Li,Kai Xu,Dianyu Qi,Yishu Zhang,Ran Tao,Yongyu Wu,Dawei Gao",03 Advanced Semiconductor (Logic) Devices,1
412,413,EDTM25-000618,HIGH TEMPERATURE SUPERFLUORESCENCE EMITTING PEROVSKITE MATERIALS,"Light-matter interactions can create and manipulate collective many-body phases in solids, offering significant potential for emerging quantum technologies. However, these collective quantum states are often fragile, with short decoherence and dephasing times, which restricts their stability limited number of materials under specific conditions, such as cryogenic temperatures or high external fields. Recent studies on perovskite superfluorescence prove that some material properties can intrinsically sustain collective quantum coherence. Here we will discuss some of these early results.","Kenan Gundogdu,Franky So,Melike Biliroglu,Gamze Findik",EDS Special Session,1
413,414,EDTM25-000619,Ultra-low Temperature Solution Processed Organic Thin-film Transistor for Flexible Integration,"A steep subthreshold organic thin-film transistor (OTFT) is processed at ultra-low temperature (≤80 ℃) to add electronic functions on all kinds of surfaces of everyday objects or things and human body surfaces. “Flexible integration” based on the steep subthreshold OTFT is demonstrated, including direct integration on a temperature-sensitive function layer and implementation of flexible hybrid sensing system. ","Zikang Mei,Xiaojun Guo",11 Flexible and Wearable Electronics,1
414,415,EDTM25-000621,A compact 256-channel CMOS brain surface recording and stimulation array with soft electrodes,"The ideal neural interface should offer at-scale, high resolution interactions with the brain while minimizing biological invasiveness. Towards this goal, we are developing a 256-channel neural interface for the brain. The soft electrodes permit conformal placement over the cortical surface with minimal force. The custom integrated circuit with low-noise and low-power architecture enables neural recordings with high signal-to-noise ratio while offering stimulation capabilities. Our miniature system will enable new experimental possibilities for neuroscientists.","David Tsai,Fraser Lachlan,Islam Muhammad Saif Ul,Peijun Qin,Nigel Lovell","10 Sensor, MEMS, Bio-Electronics",1
415,416,EDTM25-000622,Hafnia-based XP-FeRAM: A Novel High-speed and Low-power Cross-point Ferroelectric Memory for Data-intensive Applications,"Device and circuit co-optimization of a novel hafnia-based cross-point FeRAM (XP-FeRAM) are comprehensively investigated for high-density, high-speed and low-power memory applications. Planar and 3D vertical-stacked XP-FeRAM designs are demonstrated with application-specific device optimization, and the outstanding comprehensive performance are achieved with high 2Pr, excellent disturbance immunity under low-voltage operation and fast switching at scaled size, as well as good device reliability. A modified V/2 operation scheme with in-situ write-back is further presented, leading to faster operation and lower power consumption than traditional 1T1C FeRAM. Combined with its excellent scalability, XP-FeRAM shows strong potential as a competitive candidate of future non-volatile memory technology for data-intensive demands.","Qianqian Huang,Shengjie Cao,Zhiyuan Fu,Ru Huang",04 Memory Technologies,1
416,417,EDTM25-000623,Decoupling Polarization and Trap Charges by Direct Vmid Measurement for Insights into Dynamic Mechanisms of MFMIS-FeFET,"In this work, the polarization switching (PFE) and charge trapping (Qtrap) were decoupled by direct middle gate (MG) voltage (Vmid) measurements on MFMIS-FeFET. The non-ideal effects of this method were thoroughly analyzed and optimized. According to the decoupled data, the channel side injection (Ct-Inj) and gate-side injection (Gt-Inj) were both observed, consistent with the previous reports. New phenomena regarding the frequency dependent Qtrap, PFE speed and Vmid amplitude were also revealed. We proposed that PFE has a stronger gate voltage dependence than Ch-Inj, explaining all the findings. Based on these findings, guidelines for optimizing the writing frequency to enhance FeFET endurance were proposed.","Wenpu Luo,Runteng Zhu,Hanyong Shao,Yuejia Zhou,Ru Huang,Kechao Tang",07 Modelling and Simulation,0
417,418,EDTM25-000624,Novel Device Modeling Framework with a Foundation Model and Task-Specific Sub-Models,"In this work, we propose a foundation model framework to unify various pre-trained approaches for neural compact modeling. By leveraging extensive simulation data from established technology nodes, such a framework aims to capture shared physical device characteristics. This approach enables multiple applications including anomaly detection in measurement data, compact model generation from limited data, and model retargeting for specific electrical parameters. We propose an automated modeling framework integrating these capabilities for PDK model generation.","Hyunbo Cho,Ye Sle Cha",07 Modelling and Simulation,1
418,419,EDTM25-000625,Multi-functional Flexible Intelligent Glove for Gesture Recognition and Combustible Detection,"We report a multi-functional flexible intelligent glove that integrates artificial tactile and olfactory sensor array. It is able to assist wearers and humanoid robots in tasks such as gesture recognition and combustion odor detection. Our proposed convolutional neural network algorithm can fuse multi-dimensional sensing information, distinguish typical gestures, and achieve an accuracy of 97.2% in recognizing four types of combustibles. It provides opportunities for rapid decision-making in the rescue fields of gas analysis and target recognition.","Jiachuang Wang,zhao fangyu,Wenyuan Liu,Nan Qin,Tiger Tao",11 Flexible and Wearable Electronics,0
419,420,EDTM25-000627,Piezoelectric Micromachined Ultrasonic Transducers for Advanced Sensing Applications,"This paper discusses the design, optimization, and applications of piezoelectric micromachined ultrasonic transducers (PMUTs) for ultrasonic sensing systems. PMUTs offer advantages such as miniaturization, large bandwidth, and high-yield process of transducer array. Key advancements, including non-uniform membrane design and multi-frequency operation, are highlighted for their role in enhancing PMUT performance and versatility. Applications in structural health monitoring, underwater communication, and imaging are also presented.","Yipeng Lu,Bowen Sheng,Lei Zhao,Jinghan Gan,Yufeng Gao,Jiao Xia,Junhao Wang,Chenyuan Zhang","10 Sensor, MEMS, Bio-Electronics",1
420,421,EDTM25-000629,Unconventional Bandpass Filter for Noise Reduction in Bioelectronics,"Bioelectronics encompassing electronic components and circuits for accessing human information play a vital role in real-time and continuous monitoring of biophysiological signals of electrophysiology, mechanical physiology, and electrochemical physiology. However, mechanical noise, particularly motion artifacts, poses a significant challenge in accurately detecting and analyzing target signals. While software-based “postprocessing” methods and signal filtering techniques have been widely employed, challenges such as signal distortion, major requirement of accurate models for classification, power consumption, and data delay inevitably persist. This review presents an overview of noise reduction strategies in bioelectronics, focusing on reducing motion artifacts and improving the signal-to-noise ratio through hardware-based approaches such as “preprocessing”. One of the main stress-avoiding strategies is reducing elastic mechanical energies applied to bioelectronics to prevent stress-induced motion artifacts. [1] Various approaches including strain-compliance, strain-resistance, and stress-damping techniques using unique materials and structures have been explored. Future research should optimize materials and structure designs, establish stable processes and measurement methods, and develop techniques for selectively separating and processing overlapping noises. Ultimately, these advancements will contribute to the development of more reliable and effective bioelectronics for healthcare monitoring and diagnostics.",Tae-il Kim,"10 Sensor, MEMS, Bio-Electronics",1
421,422,EDTM25-000632,Epitaxial Growth of Stacking Faults-free Hexagonal Bilayer MoS2,"Deterministic growth of a single-phase material with a low defect density is essential for achieving phase-sensitive properties uniformly and on demand in a scalable manner. While layered materials exhibit various polytypes with significantly different crystal symmetries and properties, the small difference in free energies between polytypes makes phase control challenging [1]. Here, we report the deterministic growth of bilayer MoS2 films with a hexagonal single phase over a large area using metalorganic chemical vapor deposition. In layer-by-layer growth, forming single Mo atom seeds on top of the first-grown MoS2 layer prior to the second-layer growth ensures deterministic stacking of the second layer. Density functional theory suggests that these atomic seeds serve as nucleation sites, guiding the crystal growth of the hexagonal phase and preventing the formation of the rhombohedral phase. ",Cheol-Joo Kim,12 Nanotechnologies,1
422,423,EDTM25-000633,"On the quantum limits of contact resistance, contact benchmarking and ballistic transport in 2D field-effect transistors","Silicon transistor technology is rapidly approaching its physical limits. In advanced two-dimensional (2D) field-effect transistors (FETs), charge transport is approaching dissipation-less ballistic transport and is limited by the interfacial contact resistance between the contact electrode and the 2D semiconducting channel. Here we show the total contact resistance (2Rc) of different types of monolayer molybdenum disulfide (MoS2) contact can be benchmarked near the quantum resistance contact (Rcq) limit and evidence of ballistic transport can be categorized accordingly.  
","Chandan Biswas,Deji Akinwande","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",1
423,424,EDTM25-000634,Exploring the Potential of Hafnium Oxide-Based Ferroelectric Memories for Next-Generation Storage Class Memories,"Hafnium oxide (HfO₂)-based ferroelectric memories are emerging as appealing candidates for storage class memory (SCM) applications due to their scalability, low energy consumption, and compatibility with complementary-metal-oxide-semiconductor (CMOS) technology. Their strong ferroelectric properties at nanoscale thicknesses make them suitable for high-density memory, effectively bridging the gap between volatile and non-volatile storage. Key factors influencing their performance include the selection of dopants, the quality of the interfaces, defect management, and overall reliability, all of which impact endurance, retention, and the device's stability. ",SOURAV DE,08 Reliability and testing,1
424,425,EDTM25-000635,Simulation of Germanium-Tin-based n+/i-Well Dot Single-Photon Avalanche Diode for Fiber-Optic Telecommunication Networks,"We propose novel Ge_(1-x) Sn_x-based CMOS-integrated dot single-photon avalanche diodes (SPADs), which comprises a diminutive core n+/i-well hemispherical cathode/i-well configuration encircled by an anode ring. The multiplication layer comprises the fully depleted i-well region. The proposed design facilitates extensive light-sensitive region, yielding responsivity of ~389 AW-1 at 1.55 µm. Thus, the proposed structure may avoid the requirement for a multi-dot configuration, which consists of multiple cathode/i-well dots sharing a common anode, thereby lowering the fabrication cost. ","P Susthitha Menon N V Visvanathan,Harshvardhan Kumar,Advaita Sinha","05 Photonics, Imaging and Display",1
425,426,EDTM25-000636,High-Frequency Capacitance Measurement Techniques and Their Applications in Memory Technology Development,"In the era of artificial intelligence and big data, the demand for high-speed and reliable memory technologies is growing rapidly. For semiconductor memories such as DRAM and FeRAM, metal-insulator-metal and metal-insulator-semiconductor capacitors play crucial roles, and their high-frequency characteristics (e.g. from 3MHz to 3GHz) significantly impact the device performance. However, conventional measurement techniques such as the bridge method struggle to provide accurate capacitance values at such frequencies, posing a challenge for memory technology development. In this work, we introduce our recent studies on two high-frequency capacitance measurement techniques: the network analysis method and the transient signal method. The initial results suggest both methods can accurately extract DUT capacitance up to 1GHz, offering valuable insights for memory device innovation.","Jiang Qian,Dan Lv,Lu Wang,Ruiqi Ma,Shuai Kong,Shan-Ting Zhang,Dongdong Li,Liang Zhao",04 Memory Technologies,1
426,427,EDTM25-000637,Characterizing building blocks for optoelectronic devices based on two-dimensional materials by resonant Raman spectroscopy,"As is known, TMD, hBN and graphene have become essential building blocks in heterostructure-based devices. The identification of layer numbers and interlayer coupling of building blocks and the good interfacial coupling between different building blocks is essential for the device performance and property exploration. In this talk, I will discuss how to characterize building blocks for optoelectronic devices based on two-dimensional materials by resonant Raman spectroscopy, including layer number, interlayer coupling, interfacial coupling and electron-phonon coupling. ",Ping-Heng Tan,"13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",1
427,428,EDTM25-000638,Innovative Phase/Structure-Engineered Two-Dimensional Layered Hybrid Films for Nanoelectronics,"2D layered materials, including graphene and transition metal dichalcogenides (TMDs) allow the scaling down to atomically thin thicknesses and possess unique physical properties under dimensionality confinement. The chemical vapor deposition (CVD) process is the most popular approach for all kinds of 2D materials due to its high yield and quality. Nevertheless, the need for high temperature and the relatively long process time within each cycle hinders commercial development in terms of production cost. However, the transfer procedure has become one of the major limitations of the overall performance. In my talk, an inductively coupled plasma (ICP) was used to synthesize Transition Metal Dichalcogenides (TMDs) through a plasma-assisted selenization process of metal oxide (MOx) at a low temperature as as shown in Figure 1. Compared to other CVD processes, ICP facilitates the decomposition of the precursors at lower temperatures. We create the phase/structure-engineered-1T/2H 3D-hierarchical 2D materials derived from the MOx 3D-hierarchical nanostructures through a low-temperature plasma-assisted selenization process with controlled shapes grown by a glancing angle deposition system (GLAD), as shown in Figure 2.  In addition, a plasma-assisted selenization process (PASP) converted monolayer MoS2 to Janus MoSSe was demonstrated. Various spectroscopies, microscopies, and electrical characterizations were conducted to systematically investigate the MoSSe samples that were synthesized at various temperatures.The applications, including (1) water splitting, (2) gas sensors, (3) batteries, and (4) resistive change memory, will be reported.",Yu-Lun Chueh,01 Materials,1
428,429,EDTM25-000639,Nanorods-based Memristors : Advancing Bio-inspired System and Neuromorphic Computing,Memristors are promising next-generation devices due to their energy efficiency and high data processing capabilities. Recent studies have extensively reported using memristors to mimic the human sensory system and function as versatile simulation platforms for artificial intelligence applications. This review explores the development of high-performance memristors incorporating oxide nanorods and their applications in mimicking the human sensory system and advanced computing.,"Jung Ho Yoon,Ji Eun Kim,Suk Yeop Chun,Keunho Soh",04 Memory Technologies,1
429,430,EDTM25-000640,Novel Three-dimensional DRAM Cell Architectures with IGZO-channel and Key Technologies toward sub-10nm and Beyond,"As DRAM device dimension approaches 10nm scale and below in buried cell array transistors (BCAT), it is indispensable to adopt innovative cell structures and/or new materials for the next generation DRAM architecture. In this paper, three promising candidates of IGZO-based DRAM cell architecture, including a vertical channel transistor (VCT), a vertical stacked cell array transistor (VS-CAT), and capacitor-less two transistors (2T0C) are introduced. In addition, key technologies to be considered for DRAM application are discussed.","Wonsok Lee,Daewon Ha,Yongjin Lee,Sungwon Yoo,MIN HEE CHO,Kyongjun Yoo,Seung Min Lee,Seungwon Lee,Terai Masayuki,Tackhwi Lee,Jun Hyeon Bae,Kyeong ju Moon,Changhyuck Sung,Minji Hong,Dong Guk Cho,Kong-Soo Lee,SANGWOOK PARK,Kwangmin Park,BONG JIN KUH,Pilsang Yun,Sangjin Hyun,SU JIN AHN,Jaihyuk Song","02 Process, Tools, Yield, and Manufacturing",1
430,431,EDTM25-000641,Evaluation of Insulator Candidates for Nanoelectronics Based on 2D Materials,"Despite considerable advancements in electronic devices based on 2D materials, their performance suffers
from the lack of suitable gate insulators. Here, we focus on two promising insulators: Strontium titanate(SrTiO3), a high-κ perovskite used with MoS2 to create high-performance n-type field-effect transistors (FETs) and bismuth oxyselenide (Bi2O2Se), whose native oxide (Bi2SeO5) serves as a gate dielectric. We evaluate the main performance criteria and suitability of these insulators as gate dielectrics based on multi-scale simulations (DFT and TCAD).","Mina Bahrami,Theresia Knobloch,Pedram Khakbaz,Mohammad Davoudi,Alexander Karl,Seyed Mehdi Sattari-Esfahlan,Dominic Waldhoer,Tibor Grasser",01 Materials,1
431,432,EDTM25-000642,Physics of Operation of GaN Power Devices: Modeling Device and Circuit Effects using MIT Virtual Source GaNFET (MVSG) Model,"We present a framework to capture essential physics of operation of devices built on Gallium Nitride technology for High-Voltage (HV) and power applications. Devices include Unidirectional (UDS) and Bi-directional Switches (BDS) that span voltages between 60-650V. The modeling framework is based on well-known industry standard MVSG Verilog-A compact model platform. The model is proven to distill essential device physics to predict device-circuit interactions in power conversion applications. In this work, we show the model comparison against DC-IVs, CVs, switching measurements of UDS and BDS along with a demonstration of slew-rate prediction; a key device-circuit interaction effect. Secondary effects such as self-heating, charge-trapping, P-GaN gate-dynamics are also highlighted.","Ujwal Radhakrishna,Daiyao Xu,Kaiman Chan,Tim Merkin,Ryan Fang,Johan Alant,Lan Wei",07 Modelling and Simulation,1
432,433,EDTM25-000643,Magnetic Resonance based Soft Electronic Implant for Wireless Electrotherapy and Thermal Ablation,"This study explores the potential of magnetic resonance wireless power transfer (MR-WPT) for non-invasive medical applications, addressing limitations of traditional power sources in bioelectronic implants. By leveraging resonant coupling, MR-WPT achieves efficient energy transfer across biological barriers with minimal attenuation. A flexible printed circuit board (fPCB)-based MR-WPT network is developed to deliver wireless, battery-free power to implants, demonstrating resilience to geometric changes, such as separation, offset, and tilt. Experiments highlight its capability to maintain high power transfer efficiency under varied conditions and validate its functionality in targeted thermal ablation and customized electrical stimulation. The results suggest that MR-WPT could revolutionize bioelectronic implant design, offering enhanced safety, reliability, and therapeutic efficacy.","Sicheng Xing,Wubin Bai",11 Flexible and Wearable Electronics,1
433,434,EDTM25-000644,Characterization of self-heating using the AC conductance method,"The AC conductance method to determine the thermal resistance Rth is reviewed and demonstrated for several device types. A comparison is made with pulsed measurements, which are typically found to be too slow for reliable Rth determination of modern devices.","Andries Scholten,Ralf Pijper,Thanh Viet Dinh",07 Modelling and Simulation,1
434,435,EDTM25-000645,Reliability in Heterogeneous Integration: A Theoretical View,"Heterogeneous integration is challenged by its multi- scale, and multi-physics complexities that extend beyond traditional integrated circuit design. Tackling these issues demands efficient modeling techniques and design work- flows that are capable of bridging field variables across different scales, from individual components and their interfaces to packaging. This paper presents theoretical insights on the reliability issues in heterogeneous integra- tion, which can be addressed by a framework combining modeling and experiments.",Zhiping Xu,09 Packaging and Heterogenous Integration,1
435,436,EDTM25-000646,Fundamentals and Future Challenges of SiC Power Devices,"Silicon carbide (SiC) exhibits unique anisotropy in carrier transport such as higher electron mobility (> 1,200 cm2/Vs) and higher critical electric field strength (2.5–5.0 MV/cm) along <0001> than those perpendicular to <0001>. Although SiC power MOSFETs still suffer from low channel mobility, recent innovations in both gate-oxide formation and device designs enable significant performance improvement. An oxidation-minimizing process is promising for mobility enhancement (> 100 cm2/Vs) of SiC MOSFETs.","TSUNENOBU KIMOTO,Mitsuaki Kaneko",06 Wide-Bandgap Power and RF Devices,1
436,437,EDTM25-000647,How semiconductor industry new challenges will foster Engineered Substrates?,"In this article we present some key ways in which Engineered Substrates will impact the future of the semiconductor industry as well as our daily lives. It already happens to automotive revolutions with wide bandgap materials and vehicle electrification, as well as FDSOI for edge computing and will happen to the new emerging technology breakthrough for advanced CMOS transistors as well as new materials for mobility. Soitec's proprietary Smart Cut™ technology is a versatile platform for combining all types of materials to improve device performance and meet new challenges in the semiconductor industry.",Christophe FIGUET,"02 Process, Tools, Yield, and Manufacturing",1
437,438,EDTM25-000648,Advanced electronic devices empowering opto-sensors for imaging and perception,"In addition to covering applications of 2D opto-sensors with processing capabilities, we summarize possible architectures of 2D opto-sensors based on advanced electronic devices. Several innovative works using these architectures have been reviewed in this article, in which the functions of optosensors go beyond those of traditional concepts. These works may revolutionize sensors in terms of imaging and perception","Lai Wang,Wen Pan,Jinpu Tang,Zhibiao Hao,Changzheng Sun,Bing Xiong,Jian Wang,Yanjun Han,Hongtao Li,Lin Gan,Yi Luo","10 Sensor, MEMS, Bio-Electronics",1
438,439,EDTM25-000649,Neuromorphic Multisensory Numerosity Perception Enhanced by a Tactile Glove,"Neuromorphic numerosity perception utilizes bioinspired sensory systems to process and interpret numerical information, mimicking how the human brain perceives quantity. Here, we present a tactile glove with gesture-learning capability to enhance neuromorphic numerosity perception, generated by vision or auditory inputs. Equipped with 10 flexible pressure sensors strategically positioned on finger joints, the glove accurately recognizes hand gestures representing numbers. By integrating these tactile signals with visual and auditory cues through multisensory integration, the system significantly improves numerosity perception.","Hongwei Tan,Syed Ashraf,Sebastian Hannula,Bo Peng,Sebastiaan van Dijken,Zhong-Peng Lyu","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",1
439,440,EDTM25-000650,Blackbody-sensitive 2D materials and infrared applications,"Two-dimensional (2D) materials, characterized by their atomic thinness and remarkable electrical, optical, and magnetic properties, have garnered significant attention for their potential to revolutionize current optoelectronic device architectures and extend more application. We introduce blackbody-sensitive two-dimensional (2D) materials that exhibit excellent blackbody-sensitive characteristic and great potential for infrared applications.","Wang Zhen,Weida Hu","05 Photonics, Imaging and Display",0
440,441,EDTM25-000651,"2D MoS2 Thin-Film Transistors for Large-Area, Flexible Electronics","2D MoS2, a promising TMD semiconductor, offers superior mechanical flexibility over traditional materials like amorphous-Si, poly-Si, and IGZO. This makes it ideal for large-area, flexible electronics. We present a fabrication process for MoS2-based backplane TFTs, synthesized via modified MOCVD and fabricated using conventional photolithography and etching. This approach enables the development of flexible devices like wearable OLEDs, micro-LED displays, and X-ray detectors.",Jong-Hyun Ahn,01 Materials,1
441,443,EDTM25-000653,Spintronic foundation cells for scalable unconventional computing,"With the ending of Moore’s law and the thriving of unconventional computing, there is a growing demand for the development of emerging device technologies. However, it is anticipated that completely replacing complementary metal-oxide-semiconductor (CMOS) technology will not be feasible in the foreseeable future. Thus, in this paper, we showed how one of the emerging technologies, spintronic devices can be integrated with CMOS technologies as the foundation cells for scalable unconventional computing.","Zhihua Xiao,Qiming Shao","13 Disruptive Technologies (Metaverse, Neuromorphic Computing, Quantum Computing)",1
442,444,EDTM25-000654,Photonic chip-based continous wave optical parametric amplifiers,"Optical amplification is crucial for modern communication and sensing systems. The limited bandwidth of fiber amplifiers has spurred the development of new solutions. Here we review recent progress of using ultra-low loss nonlinear photonic integrated circuits fabricated in the silicon nitride and gallium phosphide platforms as amplifiers of light. Parametric amplifiers can operate ultra-broadband beyond the limitations of rare earth ions and can amplify light unidirectionally and with low noise. The demonstration of strong net fiber-to-fiber gain over bandwidths exceeding the optical S,C, and L-band has the potential to revolutionize optical amplification technologies. ","Johann Riemensberger,Nikolai Kuznetsov,Alberto Nardi,Alisa Davydova,Tobias Kippenberg",09 Packaging and Heterogenous Integration,1
443,445,EDTM25-000655,An Efficient Pipeline Programming Scheme Based on 40nm PCM Compute-in-Memory Chip for CNNs,"Phase change memory (PCM) has shown significant potential for in-memory computing. However, the conventional write-verify programming scheme for multilevel cell demands numerous iterative programming cycles and is prone to conductance drift effects, which can lead to computing errors. This paper presents the adaptive pulse width programming and pipeline programming scheme for reducing programming cycles by 71.2% and mitigating the conductance drift. Finally, we demonstrate image classification tasks with 91.7% accuracy on the PCM compute-in-memory chip.","Xile Wang,Longhao Yan,Xi Li,Yaoyu Tao,Zhitang Song,Yuchao Yang",04 Memory Technologies,1
444,446,EDTM25-000656,Investigation on the Effect of Self-clocking in MEMS Gyroscope,"This paper investigates the mechanism of self-clocking in digital systems of MEMS gyroscopes, aiming to achieve stable phase-frequency characteristics by synchronizing the sampling rate with the input signal frequency. Experimental validations are performed to demonstrate the effectiveness of self-clocking in improving the temperature stability of gyroscopes. The results show that self-clocking indeed contributes to minimizing the bias drift with temperature variations, thereby improving the overall performance and reliability. Moreover, a comprehensive analysis of various self-clocking application scenarios is presented, including the principles of self-clocking and the specific functions of each clock. These findings provide valuable insights for implementing self-clocking in digital MEMS gyroscope systems.","Xuewen Liu,Hongsheng Li,Zhiyuan Wang","10 Sensor, MEMS, Bio-Electronics",0
445,447,EDTM25-000657,Artificial Neural System Leveraging the Morphotropic Phase Boundary in Hafnia: Design and Experimental Implementation,"The creation of artificial neural systems that replicate human skin’s tactile perception capabilities has transformative potential for applications like prosthetics, virtual reality, and smart sensing. Current systems often integrate pressure sensors, memory units, and signal processing circuits to emulate sensory neurons. However, challenges remain in achieving miniaturization, high-density integration, and optimal performance due to reliance on micro-electromechanical systems (MEMS). This study introduces a monolithic, three-dimensional (3D) integrated artificial neural system based on ferroelectric HfxZr1-xO2. Utilizing the morphotropic phase boundary (MPB) state of hafnia films, positioned between orthorhombic and tetragonal phases, the system achieves high piezoelectric performance, critical for sensing. The MPB-based sensor is seamlessly integrated with a self-rectifying ferroelectric tunnel junction memory and silicon-based signal processors. Experimental results demonstrate pressure sensing capabilities over a 1–50 kPa range with a sensitivity of 0.35 mV/kPa. The system also exhibits real-time frequency modulation via precise tuning of hafnia's functional properties, offering significant advancements in miniaturized and CMOS-compatible artificial sensory technologies.","Seungyeob Kim,Minhyun Jung,Sanghun Jeon","02 Process, Tools, Yield, and Manufacturing",1
446,448,EDTM25-000658,High Density and High Reliability (H2DR) RRAM for Advanced Memory Technology,"The rapid advancement of emerging fields such as artificial intelligence has significantly increased the demand for high-performance embedded memory. Resistive random-access memory (RRAM) has received substantial attention due to its simple structure and exceptional integration density. This paper addresses the critical requirements of high-density and high-reliability (H2 DR) RRAM, providing an in-depth analysis of key technologies for both 2D and 3D RRAM. Involving oxygen vacancy modulation, innovative memory cell designs, and advanced programming methodologies. In combination, these advancements establish a technical foundation for the large-scale integration of RRAM in future applications.","Zongwei Wang,Zimeng Wu,Lin Bao,Qishen Wang,Yuhang Yang,Shengyu Bao,Jingwei Sun,Cuimei Wang,Yimao Cai,Ru Huang",04 Memory Technologies,1
447,449,EDTM25-000660,Understanding the Impact of Hydrogen on the Reliability of Oxide Semiconductor FETs,"In this review, we provide a comprehensive overview of the evolving understanding of reliability issues in oxide semiconductor field-effect transistors (OSFETs), with a focus on bias temperature instability (BTI) and the critical role of hydrogen (H)-related degradation. Through systematic analyses of high-performance Indium-Gallium-Zinc-oxide (IGZO) devices, we highlight four key findings: (1) the existence of two distinct hydrogen states, distinguishable under varying stress and recovery conditions; (2) a pronounced channel length (LCH) dependence of threshold voltage shift (ΔVth) under negative BTI (NBTI); (3) thinner channel devices are more prone to electron trapping but demonstrate higher resistance to H effects; and (4) notable differences between AC and DC positive BTI (PBTI) behavior at elevated T conditions. These insights offer valuable guidance for optimizing device design and advancing future research in this field.",XIAO GONG,03 Advanced Semiconductor (Logic) Devices,1
448,450,EDTM25-000661,4H-SiC semiconductor for EV and beyond,"4H-SiC (SiC) is an emerging semiconductor material. SiC power devices provide advantages of high efficiency, high voltage, high temperature, high thermal dissipation, and relatively high frequency, which make SiC a “chosen” material for electrical power conversion, a critical material to achieve the goal of Net-Zero Carbon Emission. As a matter of fact, industry is pouring huge fund to build up SiC semiconductor eco-system, the market is also growing extremely fast at CAGR of more than 60% in the past several years. However, there are still some challenges for SiC to penetrate more applications, including the growth rate and defects within SiC material, gate oxide process of SiC MOSFET, reliability and ruggedness of SiC devices, materials system enabling SiC devices for high temperature applications. With innovation of process and device technology, cost down and yield up of SiC industry chain, SiC is poised to play a more and more important role in the energy conversion of electrical vehicle (EV), green energy, track transportation, smart grid, and the emerging AI computing and data storage.",HOngchao LIU,06 Wide-Bandgap Power and RF Devices,1
449,451,EDTM25-000662,The Atomic Layer Etching Technique with Low Damage for p-GaN/AlGaN/GaN Structure,"In this work, an atomic layer etching (ALE) technique is proposed for p-GaN/AlGaN/GaN. The surface roughness was significantly reduced from 0.5 nm to 0.357 nm, after an ALE process with 15 s O2 modification step and 32 s BCl3 removal step. Additionally, the oxides product in O2 modification step can be effectively etched or removed. These findings indicate that O2/BCl3-based ALE technique is a promising approach for fabricating a variety of high-performance GaN devices that contain the p-GaN layer, such as p-GaN Gate HEMTs and GaN p-FETs.","Xinyi Tang,Honghao Lu,Chun Fu,Chuying Tang,Fangzhou Du,Qing Wang,Hongyu Yu",06 Wide-Bandgap Power and RF Devices,1
450,452,EDTM25-000663,Device Considerations for GaN Power Switching Transistors from Application and Reliability Perspectives,"In this work, detailed analysis and discussion on the design of state-of-the-art enhancement and depletion-mode (E/D-mode) GaN power switching transistors considering application and reliability are presented. Key challenges and issues during the development phase are elaborated with a summary of potential solutions at device and circuit system levels providing useful technical reference for a designer using GaN device for targeting power electronics application with high energy efficiency and robustness.","Zhikai Tang,Maik Peter Kaufmann,Sandeep Bahl,Chang Soo Suh,Jungwoo Joh,Dong Seup Lee,Tim Merkin,Jeffrey Morroni",06 Wide-Bandgap Power and RF Devices,1
